achiral_2,achiral_3,achiral_4,achiral_5,achiral_6,achiral_7,achiral_8,achiral_9,achiral_10,achiral_12,achiral_14,achiral_16,achiral_18,achiral_20,chiral_2,chiral_3,chiral_4,chiral_5,chiral_6,chiral_7,chiral_8,chiral_9,chiral_10,chiral_12,chiral_14,chiral_16,chiral_18,chiral_20,mix_2,mix_3,mix_4,mix_5,mix_6,mix_7,mix_8,mix_9,mix_10,mix_12,mix_14,mix_16,mix_18,mix_20
1,1,0,4879,4,233,9,228,4879,12,13,4879,4879,69,2,1,4,1,9,5,5,5,4896,45,29,4890,4978,4918,2,14,0,1,2,10,0,4928,256,493,5,6,19,4931
0,4,260,9,228,0,2,3,4,4900,8,9,21,230,1,3,4879,2,4,3,4,3,6,30,30,4993,4881,4914,0,0,4,2,5,4917,8,4907,5023,11,6,45,4884,32
4894,0,2,2,3,4,2,231,5,247,13,282,3,9,0,41,2,2,5,8,17,10,5,11,11,11,4884,5197,0,4,243,241,2,1,4,4883,232,13,11,4892,4969,5020
0,4,1,3,2,4,4884,3,44,313,229,4881,8,14,0,5,37,3,3,3,4879,245,7,4923,20,4905,16,55,1,3,1,7,2,3,7,14,6,21,4881,86,238,14
0,227,1,0,1,1,2,8,6,4893,4880,258,10,4905,2,4879,5,4,5,4881,709,4893,6,4,4966,9,13,4908,4879,5,235,13,2,4879,4,83,4,4898,4972,4883,4892,4881
1,40,0,227,245,9,257,42,10,3,4884,10,83,4912,5,8,1,5,6,232,4879,10,9,4882,4968,14,4894,5000,0,4,1,4909,2,450,4896,2,4882,5024,4887,530,12,388
245,1,0,6,3,251,1,234,720,16,4883,4899,4887,7,5,25,1,3,13,289,9,40,9,8,8,4886,7,8,0,5,2,3,4,4879,1,4,20,5053,6,9,14,5
0,0,2,0,7,1,14,21,5,4915,4883,14,23,4912,232,1,6,5,3,4881,7,4888,10,5,4887,13,4970,4964,0,230,226,17,3,4912,4879,4884,236,4976,7,4882,4964,4938
4879,1,2,2,1,12,232,11,12,4887,15,4879,66,8,1,2,9,16,7,2,4962,7,5,29,4894,4902,14,4991,1,1,2,13,6,14,4881,4881,4879,3,4879,15,4893,5037
1,0,1,2,13,4,260,3,1,232,4888,276,8,232,5,3,3,3,0,451,3,291,4929,10,19,473,5019,4977,1,0,1,2,2,3,3,6,5,238,22,7,4888,4921
1,1,1,1,2,247,4893,5,21,43,4,5035,63,4898,1,0,11,0,5,4973,1,7,236,5,253,4898,8,4879,0,5,44,4,10,5,248,12,7,22,10,15,24,20
0,1,1,1,14,2,5008,5006,6,2,237,11,4882,4896,1,0,2,1,4887,7,231,8,4,5,24,15,5010,22,1,0,4,5,2,12,1,13,4,4972,11,22,4885,5
0,226,6,2,4879,2,255,2,3,7,11,10,4894,49,1,2,2,8,7,4884,5,451,4962,60,4999,7,4966,4980,3,3,12,4879,4888,4,6,3,4964,269,233,460,12,27
2,1,4879,4,2,4881,5,4913,40,712,14,63,14,4886,0,2,4,12,4,15,3,4890,9,267,4911,16,4905,5030,0,2,1,2,2,227,4972,4890,4881,4928,5,7,4890,4893
0,1,0,4883,4,5,23,3,4881,240,2,4883,4909,4906,1,3,1,3,4879,34,4890,7,4896,10,4888,13,5011,8,449,1,1,1,5,5,4974,7,3,312,7,4890,5013,10
1,5,4,2,5,12,4881,299,5,5,4881,63,231,4885,0,4,0,3,10,4975,5,6,9,6,7,14,41,4891,1,1,2,4879,2,2,291,7,4,4,407,467,17,4894
4,0,5,4,2,3,239,3,2,4886,9,4886,13,4906,0,3,3,0,36,7,17,2,4979,13,12,5,11,4958,1,1,4,4884,15,292,2,231,233,7,4894,4927,4896,4884
0,1,3,1,5,1,3,11,228,4884,4894,263,4883,4879,0,0,0,6,3,18,1,4910,6,4889,12,31,719,9,1,6,2,3,4,1,7,4,3,11,4880,5019,8,12
0,2,1,44,4879,0,2,6,4879,2,13,46,7,9,1,0,28,463,7,6,43,21,6,10,4,4892,15,79,1,8,1,1,2,5046,1,3,2,4881,465,20,10,4890
5,0,226,2,5,4,706,4,2,2,49,4881,231,10,244,1,1,1,7,244,10,8,4879,459,4903,61,16,12,0,2,0,4,18,4894,2,9,8,4879,4879,4972,4907,4881
4879,2,0,3,261,4884,0,4881,238,12,19,89,5011,28,1,6,4879,1,10,313,11,4887,15,8,261,276,13,4901,1,1,3,2,5,6,6,4881,4890,4,6,4912,7,36
0,1,5,1,227,4892,5,4883,4879,14,5,63,8,40,7,1,3,7,456,8,4,4,4899,4884,4887,18,15,4968,1,4,4888,4,14,4879,21,64,294,4,237,8,4887,4882
3,10,2,4879,5019,0,6,2,5,25,4883,4886,4897,19,1,1,2,1,22,451,5,8,4879,13,4,4937,4912,57,0,1,1,12,11,3,9,3,7,4881,7,28,4958,4925
1,2,9,2,5,8,7,5,7,9,241,4891,4883,4916,0,5,1,4901,4,2,35,2,2,4985,8,15,5032,4960,0,6,3,2,4896,3,4,261,6,4884,230,4923,15,4996
5,0,4,10,2,3,4,2,17,11,4911,4879,20,245,2,5,1,0,12,4908,37,1,4886,10,6,4929,5,4893,2,1,1,4879,5,1,5,247,38,8,4983,6,39,19
