C14393 C14468 C17765 C07668 
C01161 C00389 C13765 C05642 
C13688 C00314 C02896 C10092 
C10332 C14197 C08608 C05804 
C19066 C18693 C00348 C20231 
C21543 C07113 C08742 C16682 
C06103 C00538 C15551 C16453 
C18730 C21793 C12292 C08737 
C07645 C07646 C11284 C00018 
C13856 C19271 C14533 C03467 
C14965 C03063 C02185 C14706 
C17268 C19092 C21757 C19531 
C19278 C19739 C16308 C16264 
C14099 C02191 C10365 C06979 
C03007 C20694 C10915 C00116 
C13631 C01819 C20226 C03226 
C15618 C06674 C08463 C18817 
C15628 C19521 C10939 C04092 
C10925 C14517 C16235 C21496 
C10174 C09245 C05572 C18941 
C00893 C00870 C09273 C18789 
C13835 C14260 C21397 C19840 
C16144 C14556 C09815 C06876 
C14223 C07582 C07166 C13624 
C00069 C19455 C05853 C18904 
C14560 C13693 C21933 C07457 
C10974 C02569 C06866 C17943 
C18377 C14953 C02364 C08393 
C10956 C00070 C19346 C15649 
C20219 C14422 C01837 C00565 
C18956 C10631 C14361 C11033 
C18561 C14373 C16391 C01073 
C04114 C10472 C18583 C10352 
C00315 C19394 C14936 C02403 
C13678 C19181 C18457 C14619 
C17249 C04110 C09032 C10486 
C05684 C02647 C04547 C03657 
C11041 C19178 C10916 C07524 
C01612 C04235 C07736 C02235 
C18762 C19250 C01481 C08277 
C08762 C14644 C06558 C05682 
C10570 C13524 C00488 C08740 
C16844 C06413 C12376 C01203 
C02359 C00955 C18511 C16278 
C07826 C00966 C19343 C01275 
C13392 C00088 C20794 C17084 
C18102 C11010 C02235 C09269 
C00785 C15473 C18430 C11151 
C06575 C02642 C22028 C06855 
C00366 C10367 C16552 C10021 
C20248 C19031 C14867 C00291 
C05127 C02376 C11172 C19501 
C14089 C21855 C21499 C08129 
C14274 C20465 C14397 C08506 
C18088 C05669 C19567 C13798 
C00488 C11093 C06551 C10351 
C10265 C19391 C05809 C13776 
C18507 C07879 C11018 C08141 
C14385 C11064 C08720 C00463 
C19541 C11092 C18913 C02625 
C19286 C08233 C15471 C10626 
C07403 C10493 C11739 C10665 
C07871 C03585 C00472 C00590 
C20937 C21507 C05655 C11579 
C16621 C05936 C01727 C19289 
C17880 C19727 C07557 C07870 
C19181 C00596 C04509 C08369 
C01967 C00366 C19806 C19101 
C21115 C18588 C17725 C20122 
C02061 C10995 C19296 C10402 
C03273 C05639 C03167 C11123 
C16214 C11073 C19378 C04347 
C01705 C14349 C14963 C14319 
C03954 C11190 C18545 C00685 
C18396 C03768 C14088 C15625 
C13194 C18766 C19240 C20344 
C02501 C18690 C19118 C19419 
C16521 C07363 C02299 C02909 
C17728 C18379 C20443 C18767 
C13793 C18337 C00173 C07255 
C19055 C16358 C14662 C18873 
C10024 C00989 C18732 C18443 
C16513 C20515 C18819 C19275 
C18731 C14613 C13563 C05636 
C19959 C19454 C18242 C05859 
C14759 C18979 C15121 C10045 
C19503 C00090 C05684 C14217 
C07356 C15650 C01537 C19270 
C08574 C05654 C15606 C16779 
C10269 C19045 C16582 C14078 
C02185 C05635 C10367 C18388 
C07826 C03981 C07080 C05856 
C14351 C15021 C07454 C20794 
C14253 C14297 C16622 C03779 
C07488 C16546 C02028 C07215 
C00366 C14283 C19827 C18853 
C20629 C18112 C07316 C01757 
C15347 C06268 C14470 C10028 
C17251 C07491 C07751 C10665 
C13636 C01372 C17471 C14417 
C10957 C00409 C21864 C16821 
C17224 C12344 C07228 C08459 
C11160 C14965 C14736 C17503 
C10915 C20365 C10625 C09001 
C02502 C14927 C03235 C06356 
C02233 C21110 C11380 C11823 
C15347 C07438 C19807 C18112 
C09567 C19225 C14081 C02656 
C12378 C19038 C18989 C14123 
C02362 C00533 C06360 C06342 
C10068 C05146 C21948 C01484 
C17486 C18246 C07274 C19051 
C13189 C15239 C10632 C00647 
C10664 C10074 C14519 C08309 
C15640 C03497 C01073 C13821 
C08720 C09921 C00011 C12538 
C15212 C19077 C21917 C19449 
C14963 C12833 C10078 C06805 
C10043 C11369 C01595 C09222 
C07717 C19670 C10794 C18713 
C07400 C17039 C13524 C15477 
C07667 C18735 C20123 C07189 
C14761 C18603 C07049 C04581 
