C18842 C06641 C02241 C19347 C14285 
C18946 C16247 C14040 C00388 C10257 
C15053 C06210 C09265 C19456 C11086 
C11071 C18747 C06792 C15663 C08722 
C02803 C00830 C14470 C15663 C03167 
C05759 C08375 C00638 C06594 C08497 
C10374 C05332 C13745 C14707 C06915 
C14270 C01572 C19312 C20939 C18737 
C14706 C19729 C18091 C15641 C14334 
C10957 C14693 C18366 C15209 C05679 
C05571 C04524 C11316 C10294 C07402 
C05113 C06384 C19218 C16309 C07328 
C12458 C10923 C15162 C13691 C13752 
C18140 C01255 C12455 C00596 C02298 
C01349 C10802 C15191 C07943 C02726 
C14633 C08060 C14215 C14286 C18452 
C09240 C14461 C21614 C11739 C14469 
C03629 C18258 C20900 C07631 C05592 
C17224 C07784 C05769 C05642 C19905 
C04056 C00565 C14263 C01035 C03273 
C18587 C02445 C12292 C03622 C04180 
C18452 C18329 C06049 C07792 C21375 
C11918 C07261 C19616 C07723 C12377 
C09060 C12100 C11063 C03173 C01322 
C04623 C18084 C09430 C19375 C19271 
C14318 C09904 C14457 C04596 C06758 
C16240 C10626 C01110 C19158 C13678 
C00222 C16209 C10944 C14494 C16715 
C10451 C01013 C10714 C21369 C06587 
C19374 C11116 C02170 C00863 C14944 
C16526 C18534 C01203 C14314 C05755 
C11128 C11151 C18351 C21345 C07368 
C07755 C06232 C18492 C21944 C14288 
C01477 C19063 C16074 C11016 C00448 
C18100 C15604 C16270 C16145 C19142 
C11432 C10176 C17243 C07905 C05718 
C00693 C07469 C07449 C15628 C19090 
C08389 C06255 C15474 C19069 C01525 
C15231 C07427 C00483 C14166 C12263 
C00086 C12264 C02918 C18377 C07674 
C02395 C14433 C19463 C01566 C18247 
C15562 C10472 C05123 C19095 C01343 
C07090 C18714 C00858 C18584 C00433 
C18430 C19188 C12477 C19254 C10354 
C21104 C05670 C15054 C17618 C14846 
C00331 C20871 C18895 C18627 C21775 
C01592 C03500 C02294 C21778 C10043 
C10693 C11103 C04207 C10342 C01203 
C10668 C01566 C06823 C05853 C05127 
C04225 C19399 C21891 C17721 C11057 
C13675 C12371 C07123 C01571 C06604 
C11214 C11627 C06902 C15571 C05827 
C14942 C14859 C11190 C02318 C10081 
C19394 C18588 C04324 C02253 C14742 
C05712 C02236 C10997 C02110 C18513 
C10021 C05682 C19618 C21430 C10948 
C18521 C07526 C07630 C17045 C16995 
C19053 C15039 C14574 C08371 C15343 
C07420 C16926 C11012 C19173 C07875 
C03537 C14736 C18511 C08195 C19837 
C21538 C18447 C02020 C00033 C17965 
C17512 C16206 C05585 C07106 C19164 
C00011 C18808 C04552 C10246 C10118 
C18253 C18814 C10925 C07666 C02058 
C16364 C10681 C19177 C14377 C15551 
C07596 C01155 C00750 C08311 C14421 
C19462 C18556 C14306 C08462 C01951 
C02242 C18501 C05659 C05915 C08480 
C07732 C07203 C18874 C02814 C09285 
C21112 C02363 C07588 C09567 C07568 
C02180 C10265 C12325 C06165 C05592 
C00158 C19439 C11569 C19488 C07041 
C08320 C19570 C19314 C15562 C06646 
C02555 C16291 C06429 C10201 C14406 
C21291 C10962 C19349 C10086 C11142 
C07589 C16860 C19225 C19068 C07491 
