C02980 C04547 C14742 C16682 C05316 C02341 C19009 
C12244 C08652 C11188 C19527 C18141 C09921 C15143 
C08276 C14745 C12085 C11017 C10523 C14317 C06608 
C18811 C18719 C10372 C10527 C20450 C06961 C00283 
C10681 C16604 C08737 C12245 C00414 C18765 C14215 
C15203 C14790 C17933 C02321 C10653 C01949 C10205 
C13708 C19067 C07324 C02496 C18661 C19354 C10487 
C21311 C15534 C17846 C02519 C20240 C10406 C00168 
C05652 C03130 C11033 C15886 C14571 C18743 C09005 
C18727 C03311 C02421 C00495 C14580 C02405 C16212 
C11571 C15226 C02037 C18350 C17568 C18520 C11172 
C19063 C17839 C07743 C19174 C10900 C04622 C02642 
C11430 C02376 C21784 C14380 C18732 C10472 C09343 
C10037 C03413 C14268 C19234 C00580 C09269 C06550 
C20954 C06680 C21863 C14189 C10693 C11122 C11482 
C03547 C10496 C01183 C06536 C14340 C18756 C18264 
C05818 C17220 C09904 C17617 C05768 C07581 C20452 
C10106 C18007 C17530 C20414 C18804 C19617 C19789 
C04574 C16522 C13645 C18247 C07132 C08197 C10435 
C02896 C11740 C14203 C18789 C13034 C08166 C19067 
C21065 C01026 C10059 C14985 C11316 C07561 C07332 
C01349 C19026 C18077 C10626 C22041 C00841 C02421 
C01029 C21916 C03969 C05435 C07397 C01571 C14733 
C19686 C18931 C07431 C14711 C18965 C11208 C20319 
C06679 C11564 C19600 C13784 C14783 C07967 C18295 
C04527 C16554 C17723 C19368 C14765 C07205 C14228 
C21763 C03621 C01528 C10045 C19174 C18407 C21321 
C07460 C09281 C14693 C06939 C18731 C19285 C02804 
C17478 C15584 C16956 C18718 C00176 C19892 C18604 
C08480 C09980 C16199 C07982 C03623 C03002 C14216 
C20738 C16683 C06605 C14697 C08446 C18367 C01948 
C20171 C08281 C10180 C02678 C07559 C14558 C13252 
C00472 C06644 C08732 C12376 C10315 C19335 C04323 
C01991 C08382 C01913 C17730 C20522 C02112 C04298 
C16849 C14507 C14081 C10242 C14730 C07363 C19496 
C19272 C21298 C14108 C16589 C11735 C01779 C02809 
C01043 C01864 C00543 C16206 C19018 C20683 C11015 
C16359 C18826 C14081 C16146 C01013 C07582 C01372 
C11115 C00262 C08281 C02617 C13482 C05665 C04285 
C00292 C10354 C00122 C03761 C20249 C20396 C14519 
C16412 C11065 C06359 C10081 C18520 C14195 C03277 
C19041 C16845 C19363 C06451 C00023 C11497 C00013 
C07586 C07743 C16340 C06533 C10975 C19618 C09347 
C00380 C14706 C06499 C20939 C03129 C06437 C00828 
C14197 C13636 C11620 C08071 C15343 C08161 C21578 
C14216 C12484 C14678 C14599 C14369 C07559 C18963 
C14704 C10390 C16397 C08643 C19510 C14377 C03707 
C07058 C10060 C01548 C01407 C13636 C07467 C18149 
C15027 C15859 C14378 C10261 C04051 C06600 C12290 
C04577 C18850 C18946 C19136 C18561 C18377 C00988 
C18417 C19108 C02648 C05759 C10365 C04285 C14455 
C19315 C06876 C14357 C14759 C19858 C10511 C09053 
C15622 C17278 C10812 C14364 C19468 C18528 C16202 
C18493 C19265 C18672 C14866 C14494 C06730 C07943 
C08321 C07468 C15202 C10740 C19210 C05918 C11172 
C18989 C10352 C20939 C15433 C08948 C15888 C10146 
C14873 C19765 C11601 C10802 C01478 C01948 C06255 
C11582 C13630 C11129 C02201 C19150 C19806 C20283 
C18079 C13695 C01328 C14394 C15227 C19730 C19538 
C20141 C06355 C19463 C13633 C02373 C05354 C21884 
C20791 C18833 C06819 C10494 C10961 C00954 C10469 
C08304 C01871 C14089 C18345 C16623 C02241 C10478 
C05828 C14310 C14697 C03413 C07458 C18100 C18592 
C01968 C19225 C21203 C20339 C10355 C07182 C17086 
C13836 C15615 C07132 C15195 C11514 C20170 C00314 
C19362 C21737 C02370 C20122 C19730 C19064 C21526 
C11950 C14421 C19541 C18418 C19892 C09618 C21549 
C00283 C19500 C08279 C20345 C01853 C11622 C15083 
C00805 C19419 C10659 C03754 C19471 C09909 C00628 
C13779 C06949 C16930 C01732 C00812 C18811 C03837 
C04443 C12251 C00727 C08219 C18437 C14461 C21625 
C05812 C20284 C02575 C19148 C14356 C16547 C10444 
C01585 C16896 C10407 C15908 C00429 C16219 C14164 
C06613 C12886 C17040 C07147 C19164 C18371 C12135 
C03624 C01210 C06556 C07888 C06629 C21860 C20291 
C06123 C10035 C19011 C17790 C10430 C18776 C00417 
C12838 C11764 C06935 C00177 C19553 C07002 C18436 
C08371 C14351 C11063 C18896 C18586 C12349 C14501 
C18659 C14556 C14789 C10369 C15247 C18449 C05360 
C15474 C14203 C00282 C19521 C15617 C21602 C15084 
C19005 C19789 C06748 C07383 C11025 C18545 C15631 
C10794 C10840 C02777 C21915 C09815 C15499 C00371 
