C06359 C01755 C19790 C18069 C00122 C15248 C18447 C11028 
C11369 C11767 C19721 C20215 C10037 C06971 C19839 C19014 
C01890 C07098 C19624 C02235 C14289 C05758 C10970 C05810 
C18424 C18918 C18856 C05755 C00334 C19136 C06328 C02306 
C07645 C10256 C10951 C06695 C02903 C04556 C17467 C11044 
C18841 C13796 C01502 C17618 C12954 C19307 C16450 C00887 
C07216 C14099 C10588 C14712 C00555 C00581 C15472 C14538 
C18781 C10164 C18782 C03122 C01192 C10370 C14718 C01837 
C17220 C05638 C19220 C19616 C12864 C15878 C06861 C01342 
C05590 C14952 C01153 C19063 C07584 C10310 C16834 C09245 
C18768 C13784 C22015 C18317 C14386 C07973 C04178 C16873 
C11734 C17479 C16359 C20345 C00380 C14573 C16201 C12263 
C07852 C07461 C02893 C12143 C16146 C17958 C08163 C00697 
C02893 C02363 C17206 C18338 C14461 C19421 C02362 C10654 
C00484 C19197 C02124 C19334 C11598 C11573 C14866 C02648 
C11762 C10054 C20122 C10572 C02080 C18515 C15908 C19461 
C19275 C20666 C11571 C16397 C06456 C13558 C17745 C18934 
C04071 C06679 C20356 C14481 C00353 C19528 C09980 C09047 
C17560 C01965 C07630 C00483 C15874 C07401 C14474 C20635 
C07849 C06943 C17822 C08728 C00225 C14903 C10183 C18180 
C18851 C19315 C05349 C07111 C07832 C02214 C03467 C18073 
C18777 C08375 C20462 C20344 C12023 C07641 C21549 C19095 
C05770 C09978 C02389 C11562 C02470 C08722 C19020 C18747 
C20046 C14400 C18588 C13945 C14575 C06490 C16446 C19058 
C06975 C17097 C14390 C03087 C10665 C05172 C13524 C07410 
C00797 C08200 C06345 C06232 C14111 C11740 C20425 C08478 
C16145 C19261 C04366 C16550 C08573 C19369 C18253 C15213 
C01706 C16584 C19140 C10285 C19837 C18890 C15038 C06609 
C16938 C19502 C14211 C18258 C18979 C17670 C03822 C00571 
C15618 C00975 C14130 C21721 C11363 C00628 C18687 C21291 
C00557 C11028 C19421 C14369 C19979 C07892 C14412 C18295 
C14333 C07083 C11028 C10472 C03743 C19444 C06949 C01324 
C20155 C06423 C19452 C19759 C18747 C00828 C14520 C11687 
C18295 C16873 C18484 C13540 C12540 C13355 C09315 C04226 
C10613 C06456 C14165 C05596 C07659 C10923 C06806 C21966 
C18277 C01203 C10542 C16270 C18118 C19795 C02375 C01663 
C16226 C14163 C06383 C05918 C18955 C08072 C11152 C19378 
C18481 C19286 C02646 C10370 C19332 C13558 C01752 C12297 
C10444 C14516 C07095 C07332 C16267 C14456 C10078 C19760 
C02824 C10583 C07108 C14788 C08281 C02218 C05574 C17910 
C22007 C19392 C12421 C14325 C21916 C17061 C09847 C18493 
C21490 C19031 C19394 C18392 C01066 C05435 C01562 C17438 
C14694 C02122 C10037 C02691 C14602 C09216 C14766 C03939 
C17744 C10329 C21938 C14088 C12491 C05608 C04226 C08577 
C06553 C13650 C06710 C01477 C19488 C12120 C03574 C19907 
C01043 C11276 C03687 C11067 C15168 C12393 C05915 C04480 
C18309 C10111 C14437 C10315 C02389 C06493 C20202 C09280 
C21135 C10057 C00469 C13695 C16193 C11344 C10407 C14412 
C01198 C08575 C07209 C01330 C19806 C10978 C21498 C19430 
C10028 C15077 C11801 C08380 C21862 C11579 C05680 C01812 
C17255 C07330 C05528 C01464 C02240 C04409 C14384 C14516 
C10534 C01275 C21578 C20417 C18712 C03012 C18836 C19282 
C11283 C10765 C06609 C19114 C19071 C06678 C15161 C12350 
C18933 C16582 C10511 C00076 C07130 C08997 C11564 C00727 
C02037 C12299 C18759 C18388 C04205 C21321 C06900 C03351 
C02341 C02548 C01252 C00830 C18497 C08362 C18353 C18259 
C10395 C06268 C16779 C18551 C18613 C11215 C03164 C15348 
C14419 C12226 C08651 C10399 C12393 C00179 C21306 C06075 
C00262 C17669 C18236 C01326 C18944 C21344 C19337 C15021 
