C15226 C07443 C00417 C08310 C15534 C15394 C08159 C21958 C21602 
C03840 C15179 C18833 C18895 C19041 C15160 C19673 C00366 C08397 
C17224 C11620 C19430 C18131 C07620 C19520 C19355 C00087 C17246 
C14296 C19329 C08378 C05613 C17433 C00703 C02918 C08997 C15344 
C15631 C07383 C14202 C14481 C20700 C02116 C10944 C18793 C04088 
C00473 C19934 C02075 C19464 C03586 C06330 C00331 C05718 C00390 
C21381 C05316 C05528 C01888 C14329 C07214 C07319 C10680 C10656 
C01744 C01397 C06584 C16629 C03897 C00604 C00009 C07743 C00032 
C03888 C01043 C14133 C11701 C05670 C02026 C00283 C07499 C10668 
C19481 C07428 C10977 C16402 C19467 C20872 C14604 C13767 C01026 
C17047 C19468 C19614 C19087 C14952 C00383 C02055 C18659 C01336 
C06639 C18904 C01672 C02691 C02445 C19455 C10877 C03209 C08643 
C16715 C19113 C18419 C07280 C19124 C21871 C07205 C05856 C14374 
C10629 C09898 C07132 C08454 C10226 C00741 C08200 C14168 C14394 
C21713 C04596 C16873 C14739 C18348 C10724 C15241 C09269 C07599 
C10575 C19076 C12483 C14698 C17062 C16734 C19171 C19220 C19524 
C11283 C16550 C08277 C17880 C19041 C08130 C13515 C19446 C08310 
C11585 C01051 C14334 C19191 C07724 C10714 C14620 C21414 C13748 
C19103 C08397 C17905 C02321 C16811 C10962 C10482 C19265 C03779 
C07715 C12415 C06381 C20219 C10912 C10401 C14657 C00499 C14445 
C10809 C11426 C14266 C10702 C14756 C00593 C19058 C00076 C15814 
C11592 C18363 C05838 C19623 C18873 C08382 C03314 C20361 C05752 
C06735 C08166 C00132 C11111 C01448 C18955 C01252 C12767 C16590 
C13622 C10443 C04621 C14111 C10523 C06951 C07464 C17098 C15997 
C18086 C17732 C06207 C06578 C05905 C12478 C21140 C19546 C03918 
C05749 C16319 C15202 C10250 C18102 C02505 C07892 C19358 C17856 
C10372 C15858 C06866 C06757 C14132 C19354 C12306 C07130 C10693 
C03715 C11569 C16343 C12539 C21864 C13400 C00706 C12679 C08993 
