C11418 C12625 C18130 C18038 C02060 C21909 C16186 C10238 
C09659 C17733 C02706 C11047 C20927 C10608 C15501 C08998 
C08615 C16942 C14913 C05926 C21935 C02509 C09521 C11678 
C12113 C10597 C09712 C08937 C10243 C03268 C14850 C01348 
C03672 C15294 C04882 C00019 C17100 C08738 C21843 C04398 
C19773 C17915 C11898 C02209 C04695 C05895 C20597 C13310 
C10067 C10109 C17951 C03042 C16376 C04487 C20189 C06625 
C15715 C01488 C09912 C03418 C09914 C09164 C21031 C14778 
C08803 C20809 C04562 C08473 C16568 C14649 C11618 C09808 
C06230 C09525 C08758 C01902 C17450 C16871 C02538 C13845 
C04211 C21087 C03189 C10153 C09926 C01207 C07634 C15972 
C01119 C21981 C08856 C01506 C09621 C18763 C12661 C21643 
C21259 C16261 C08797 C21648 C20948 C11235 C09956 C21516 
C11419 C11889 C06882 C01720 C15019 C17485 C16888 C19989 
C05929 C04068 C00073 C04244 C15637 C20950 C11050 C13714 
C18034 C15442 C17365 C20416 C20843 C07664 C00979 C18415 
C16674 C03221 C11100 C02048 C20608 C12164 C15164 C01884 
C06435 C03479 C08690 C02692 C02899 C11781 C08235 C15134 
C01249 C20784 C20331 C00252 C09072 C01223 C17586 C07025 
C14874 C17831 C09987 C20510 C03829 C17982 C11498 C14928 
C13895 C09609 C19842 C20951 C02867 C19917 C15404 C09202 
C17697 C20273 C14926 C21063 C09089 C11990 C01694 C17373 
C11872 C17257 C14803 C03140 C20851 C14094 C11837 C06172 
C04142 C06387 C12052 C16751 C08474 C19483 C20161 C04170 
C05209 C11492 C06780 C09493 C04148 C12058 C20631 C11826 
C08654 C07222 C06410 C00197 C08241 C13183 C16071 C11972 
C12340 C16426 C00460 C07141 C09928 C17443 C01167 C18466 
C17523 C01844 C15704 C12360 C06399 C20684 C13880 C09324 
C08628 C20447 C13924 C09575 C04446 C14152 C09726 C13738 
C16307 C16337 C05662 C06997 C15923 C21382 C10217 C18067 
C02339 C06676 C06173 C02030 C21313 C11831 C09108 C04898 
C16707 C21753 C06720 C19908 C21000 C08752 C09358 C02483 
C18888 C20026 C00844 C16865 C18882 C05447 C19402 C08351 
C11699 C10280 C04297 C00328 C21786 C13802 C21616 C10501 
C13680 C10299 C06228 C15351 C04227 C21672 C20447 C04476 
C07276 C04074 C17749 C10386 C17849 C06777 C04221 C19649 
C14158 C06179 C02537 C01906 C10381 C12106 C04425 C04614 
C09477 C00721 C08385 C01877 C06398 C15381 C09137 C14762 
C10717 C15937 C16583 C18024 C19644 C16894 C21832 C03594 
