C15797 C01969 C06160 C08804 C11365 C15136 C10309 C10362 C16922 
C01370 C12241 C08714 C12008 C10274 C08528 C21457 C06508 C06882 
C12859 C13714 C10307 C05290 C20545 C05893 C14762 C07554 C19441 
C09870 C13786 C14632 C15747 C02725 C04316 C14925 C04103 C04133 
C16325 C09860 C07285 C02768 C17534 C15169 C13733 C16854 C08235 
C04312 C00112 C07657 C11386 C03483 C04925 C17060 C07853 C01593 
C08931 C13129 C06625 C15973 C14526 C01700 C00128 C01280 C16440 
C05678 C20022 C06869 C09625 C15188 C08808 C06514 C16791 C02199 
C15547 C07720 C14487 C09810 C11785 C04690 C15457 C18244 C00124 
C01602 C17373 C01850 C18984 C20475 C17668 C04800 C08340 C09631 
C06006 C09547 C09876 C13857 C15739 C20892 C16733 C00504 C07394 
C12836 C16595 C09739 C10569 C09896 C10219 C06410 C14176 C03124 
C11309 C20133 C11895 C14658 C22005 C16746 C14276 C18769 C14907 
C11703 C20704 C09535 C15508 C00993 C05941 C05320 C07805 C02147 
C14919 C20707 C05266 C09506 C02780 C08540 C17987 C20029 C06688 
C14056 C08554 C16752 C20851 C07609 C04899 C17110 C09498 C17377 
C17370 C03736 C08110 C00216 C19772 C08566 C12185 C08160 C10879 
C20867 C11976 C10730 C11631 C15414 C17666 C01100 C15758 C21866 
C21528 C12161 C21413 C03085 C14979 C08811 C17860 C12259 C15350 
C05950 C11974 C08837 C20603 C12380 C14738 C11494 C01682 C08860 
C16892 C20913 C03588 C07497 C18196 C01421 C06887 C08863 C15732 
C05556 C16430 C07494 C10985 C15368 C16165 C19701 C04907 C05568 
C04126 C05386 C14641 C01018 C01516 C08590 C17003 C20136 C17476 
C16768 C21208 C16237 C05984 C13909 C15935 C12285 C15313 C08265 
C09173 C14142 C20664 C14255 C21823 C00925 C11812 C06932 C08152 
C20951 C14809 C02562 C20183 C06541 C21413 C13809 C16233 C08528 
C19983 C09562 C00272 C16643 C03656 C03200 C19982 C05601 C07281 
