C16424 C21207 C17972 C21354 C04556 C03035 C20677 C18362 C01851 
C08300 C21755 C20449 C04282 C19530 C08882 C19490 C15609 C17473 
C17709 C17932 C13702 C10579 C00966 C15978 C15130 C20215 C00570 
C00632 C04886 C09156 C18722 C06189 C17504 C10473 C06103 C12628 
C03646 C10591 C03663 C13556 C15714 C03446 C19246 C21467 C14995 
C05580 C12112 C01113 C18405 C01024 C14029 C21957 C04429 C01753 
C01875 C10246 C21828 C10898 C17617 C06114 C02282 C14436 C16674 
C18073 C21694 C07113 C11102 C21977 C01302 C00647 C15039 C19385 
C07673 C09132 C21294 C08037 C08430 C20866 C21788 C01790 C04923 
C12837 C17411 C08888 C06240 C16461 C20224 C12609 C11447 C05911 
C12250 C21355 C14740 C21326 C14892 C12626 C10066 C00062 C12032 
C19352 C02502 C02771 C21735 C13784 C02290 C00079 C07010 C08746 
C19258 C04904 C09451 C14755 C12063 C09087 C04681 C06111 C00624 
C01413 C04900 C16816 C21185 C18977 C14636 C09292 C07256 C05270 
C20426 C08857 C08554 C10106 C14428 C10895 C16443 C01141 C10745 
C20565 C00110 C19450 C12317 C05239 C00688 C20217 C06958 C14695 
C14652 C17586 C09083 C20236 C20016 C11198 C19051 C10421 C19540 
C20788 C11638 C18500 C14300 C09171 C20924 C05113 C08616 C14216 
C07185 C17998 C19733 C13740 C14748 C07653 C21662 C10548 C05843 
C09540 C21923 C08929 C06824 C18528 C18384 C11733 C10223 C12143 
C08250 C00330 C20740 C00124 C05927 C05239 C08743 C01291 C19870 
C12479 C17827 C16298 C20414 C12364 C09016 C20829 C19701 C17090 
C11819 C11059 C05574 C15065 C07708 C04453 C00916 C04548 C02575 
C01825 C17802 C07887 C11699 C08519 C02723 C00408 C11488 C08665 
C16901 C20218 C01410 C14872 C20121 C18475 C15717 C11671 C18022 
C20206 C12342 C20874 C02289 C03614 C18726 C12285 C05217 C08109 
C19866 C21491 C15907 C12478 C12486 C04079 C11748 C06031 C21041 
C12267 C09377 C07035 C02304 C16557 C02139 C09352 C22006 C14926 
C01485 C19821 C03401 C09077 C21323 C05745 C02699 C18776 C14496 
C02508 C12383 C15159 C08239 C03040 C03503 C19404 C04015 C16945 
C00814 C11663 C09644 C15440 C17470 C19801 C18376 C17254 C09524 
C05747 C13870 C02079 C10621 C05028 C13416 C04328 C19149 C21828 
C03413 C17901 C09336 C02879 C12320 C00182 C15373 C17787 C00539 
C08867 C06725 C04387 C06587 C09179 C11896 C15079 C02791 C17055 
C21747 C20243 C06044 C21213 C17458 C10871 C08399 C16153 C03209 
C17398 C01152 C19368 C18251 C13104 C08880 C09749 C15846 C03188 
C14674 C11697 C07665 C16832 C07912 C00955 C03018 C18633 C15534 
C11679 C06540 C09791 C16287 C11445 C17731 C10064 C11070 C06052 
C10226 C20364 C12038 C18566 C21948 C20029 C05704 C09111 C14344 
C06347 C15392 C04930 C02942 C15813 C14995 C16518 C18604 C19325 
C07743 C06910 C05130 C12988 C18328 C01225 C11482 C09552 C02272 
C02792 C15328 C11897 C13441 C04771 C15792 C11900 C21914 C14063 
